[2023-06-26 23:53:01] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe INF16B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe AUM15A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe AUF16B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe ELT15A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PRM16B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe INF16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PKE16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe AUF16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe INF16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe IJBV18A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PKB16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PMG15B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PRM16B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PME16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe KOE18B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PMG16B bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe PKE16A bereits vorhanden
[2023-06-26 23:53:02] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe AUF17A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe INF15S bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe PMG15B bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe DRO16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe BM1_TE16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe Ex bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe AUF16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe PME16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe KOE16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe PKB16A bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe PRM16C bereits vorhanden
[2023-06-26 23:53:03] [WARN] - Klassengruppe DRO15A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe PME16A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe INF15S bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe AUM15A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe PKB15A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe PKE16A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe INF16A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe KOE16A bereits vorhanden
[2023-06-26 23:53:04] [WARN] - Klassengruppe WTG16A bereits vorhanden
